Epoch;Training;CV
1;0.11;0.10
2;0.07;0.06
3;0.04;0.03
4;0.02;0.01
5;0.01;0.00
6;0.00;0.00
7;0.00;0.00
8;0.00;0.00
9;0.00;0.00
10;0.00;0.00
11;0.00;0.00
12;0.01;0.00
13;0.00;0.01
14;0.00;0.00
15;0.00;0.00
16;0.00;0.00
17;0.00;0.01
18;0.01;0.01
19;0.01;0.00
20;0.01;0.03
21;0.00;0.01
22;0.01;0.00
23;0.01;0.02
24;0.02;0.02
25;0.03;0.02
26;0.05;0.02
27;0.07;0.09
28;0.09;0.11
29;0.11;0.10
30;0.08;0.13
31;0.12;0.12
32;0.04;0.10
33;0.05;0.15
34;0.12;0.20
35;0.09;0.12
36;0.07;0.08
37;0.08;0.12
38;0.09;0.13
39;0.12;0.10
40;0.13;0.08
