Epoch;Training;CV
1;11.46;0.81
2;3.29;1.02
3;1.85;0.24
4;1.55;0.14
5;1.38;0.09
6;1.24;0.07
7;1.13;0.06
8;1.02;0.06
9;0.94;0.06
10;0.87;0.07
11;1.00;0.70
12;1.09;0.67
13;1.00;0.34
14;0.96;0.47
15;0.93;0.62
16;0.90;0.30
17;0.87;0.63
18;0.99;0.61
19;0.91;0.31
20;0.96;0.53
21;0.95;1.07
22;1.06;0.55
23;1.12;0.82
24;1.23;1.03
25;1.30;0.82
26;1.29;1.31
27;1.32;1.61
28;1.38;1.55
29;1.43;1.19
30;1.52;1.21
31;1.41;1.88
32;1.51;1.45
33;1.53;1.39
34;1.44;0.91
35;1.58;2.43
36;1.54;1.59
37;1.60;1.84
38;1.57;1.81
39;1.58;3.01
40;1.59;1.88
