Epoch;Training;CV
1;20.54;13.91
2;16.83;13.64
3;19.32;14.93
4;18.59;15.12
5;17.87;15.18
6;17.36;15.22
7;16.98;15.23
8;16.69;15.24
9;16.47;15.25
10;16.26;15.18
11;15.48;13.67
12;15.69;14.29
13;16.50;14.42
14;16.45;14.08
15;16.47;14.73
16;16.43;14.51
17;16.55;14.34
18;16.47;14.11
19;16.36;14.25
20;16.15;14.19
21;15.88;13.28
22;15.54;14.46
23;15.64;14.05
24;15.29;13.91
25;14.93;13.77
26;15.04;12.80
27;14.77;12.34
28;14.89;13.68
29;14.99;12.88
30;14.75;12.95
31;14.72;11.83
32;14.60;12.02
33;14.60;11.85
34;14.94;13.71
35;14.55;11.81
36;14.55;11.59
37;14.34;13.45
38;14.19;11.82
39;14.00;10.85
40;13.96;12.43
