Epoch;Training;CV
1;0.33;0.81
2;0.51;0.79
3;0.90;0.95
4;0.96;0.97
5;0.98;0.98
6;0.98;0.99
7;0.99;0.99
8;0.99;0.99
9;0.99;0.99
10;0.99;0.97
11;0.89;0.88
12;0.84;0.82
13;0.89;0.94
14;0.89;0.84
15;0.89;0.93
16;0.89;0.83
17;0.90;0.95
18;0.90;0.90
19;0.90;0.91
20;0.88;0.73
21;0.85;0.79
22;0.80;0.88
23;0.81;0.83
24;0.76;0.91
25;0.72;0.76
26;0.73;0.70
27;0.70;0.66
28;0.71;0.71
29;0.71;0.73
30;0.68;0.67
31;0.68;0.63
32;0.66;0.60
33;0.67;0.63
34;0.69;0.75
35;0.65;0.58
36;0.65;0.65
37;0.64;0.75
38;0.62;0.59
39;0.60;0.40
40;0.59;0.63
